run,alpha,method,accuracies,c_count
43,0.2,eb,0.56,21
43,0.2,eb2,0.56,21
43,0.2,im,1,5
43,0.2,im2,1,5
43,0.2,lp,1,5
43,0.2,lp2,1,5
43,0.2,sl,1,6
43,0.2,sl2,1,5
42,0.2,wt,1,5
42,0.2,wt2,1,5
42,0.2,l,1,5
42,0.2,l2,1,5
42,0.2,fg,1,5
42,0.2,fg2,1,5
42,0.2,eb,0.64,26
42,0.2,eb2,0.64,26
42,0.2,im,1,5
42,0.2,im2,1,5
42,0.2,lp,1,5
42,0.2,lp2,0.62,3
42,0.2,sl,1,5
42,0.2,sl2,1,5
41,0.2,wt,1,5
41,0.2,wt2,1,5
41,0.2,l,1,5
41,0.2,l2,1,5
41,0.2,fg,1,5
41,0.2,fg2,1,5
41,0.2,eb,0.62,23
41,0.2,eb2,0.62,23
41,0.2,im,1,5
41,0.2,im2,1,5
41,0.2,lp,1,5
41,0.2,lp2,1,5
41,0.2,sl,1,5
41,0.2,sl2,1,6
40,0.2,wt,1,5
40,0.2,wt2,1,5
40,0.2,l,1,5
40,0.2,l2,1,5
40,0.2,fg,1,5
40,0.2,fg2,1,5
40,0.2,eb,0.72,29
40,0.2,eb2,0.8,33
40,0.2,im,1,5
40,0.2,im2,1,5
40,0.2,lp,1,5
40,0.2,lp2,1,5
40,0.2,sl,1,5
40,0.2,sl2,1,5
39,0.2,wt,1,5
39,0.2,wt2,1,5
39,0.2,l,1,5
39,0.2,l2,1,5
39,0.2,fg,1,5
39,0.2,fg2,1,5
39,0.2,eb,0.76,32
39,0.2,eb2,0.76,32
39,0.2,im,1,5
39,0.2,im2,1,5
39,0.2,lp,1,5
39,0.2,lp2,1,5
39,0.2,sl,1,5
39,0.2,sl2,1,5
38,0.2,wt,1,5
38,0.2,wt2,1,5
38,0.2,l,1,5
38,0.2,l2,1,5
38,0.2,fg,1,5
38,0.2,fg2,1,5
38,0.2,eb,0.66,27
38,0.2,eb2,0.82,30
38,0.2,im,1,5
38,0.2,im2,1,5
38,0.2,lp,1,5
38,0.2,lp2,1,5
38,0.2,sl,1,5
38,0.2,sl2,1,6
37,0.2,wt,1,5
37,0.2,wt2,1,5
37,0.2,l,1,5
37,0.2,l2,1,5
37,0.2,fg,1,5
37,0.2,fg2,1,5
37,0.2,eb,0.72,17
37,0.2,eb2,0.72,17
37,0.2,im,1,5
37,0.2,im2,1,5
37,0.2,lp,0.84,4
37,0.2,lp2,0.8,4
37,0.2,sl,1,5
37,0.2,sl2,1,5
36,0.2,wt,1,5
36,0.2,wt2,1,5
36,0.2,l,1,5
36,0.2,l2,1,5
36,0.2,fg,1,5
36,0.2,fg2,1,5
36,0.2,eb,0.5,16
36,0.2,eb2,0.68,28
36,0.2,im,1,5
36,0.2,im2,1,5
36,0.2,lp,1,5
36,0.2,lp2,1,5
36,0.2,sl,1,5
36,0.2,sl2,1,5
35,0.2,wt,1,5
35,0.2,wt2,1,5
35,0.2,l,1,5
35,0.2,l2,1,5
35,0.2,fg,1,5
35,0.2,fg2,1,5
35,0.2,eb,0.68,25
35,0.2,eb2,0.68,25
35,0.2,im,1,5
35,0.2,im2,1,5
35,0.2,lp,1,5
35,0.2,lp2,1,5
35,0.2,sl,1,5
35,0.2,sl2,1,5
34,0.2,wt,1,5
34,0.2,wt2,1,5
34,0.2,l,1,5
34,0.2,l2,1,5
34,0.2,fg,1,5
34,0.2,fg2,1,5
34,0.2,eb,0.62,25
34,0.2,eb2,0.62,25
34,0.2,im,1,5
34,0.2,im2,1,5
34,0.2,lp,1,5
34,0.2,lp2,1,5
34,0.2,sl,1,5
34,0.2,sl2,1,6
33,0.2,wt,1,5
33,0.2,wt2,1,5
33,0.2,l,1,5
33,0.2,l2,1,5
33,0.2,fg,1,5
33,0.2,fg2,1,5
33,0.2,eb,0.72,28
33,0.2,eb2,0.72,28
33,0.2,im,1,5
33,0.2,im2,1,5
33,0.2,lp,1,5
33,0.2,lp2,1,5
33,0.2,sl,1,5
33,0.2,sl2,1,5
32,0.2,wt,1,5
32,0.2,wt2,1,5
32,0.2,l,1,5
32,0.2,l2,1,5
32,0.2,fg,1,5
32,0.2,fg2,1,5
32,0.2,eb,0.7,28
32,0.2,eb2,0.8,34
32,0.2,im,1,5
32,0.2,im2,1,5
32,0.2,lp,1,5
32,0.2,lp2,1,5
32,0.2,sl,1,7
32,0.2,sl2,1,5
31,0.2,wt,1,5
31,0.2,wt2,1,5
31,0.2,l,1,5
31,0.2,l2,1,5
31,0.2,fg,1,5
31,0.2,fg2,1,5
31,0.2,eb,0.58,14
31,0.2,eb2,0.58,14
31,0.2,im,1,5
31,0.2,im2,1,5
31,0.2,lp,1,5
31,0.2,lp2,0.86,4
31,0.2,sl,1,6
31,0.2,sl2,1,5
30,0.2,wt,1,5
30,0.2,wt2,1,5
30,0.2,l,1,5
30,0.2,l2,1,5
30,0.2,fg,1,5
30,0.2,fg2,1,5
30,0.2,eb,0.3,5
30,0.2,eb2,1,50
30,0.2,im,1,5
30,0.2,im2,1,5
30,0.2,lp,1,5
30,0.2,lp2,1,5
30,0.2,sl,1,5
30,0.2,sl2,1,5
29,0.2,wt,1,5
29,0.2,wt2,1,5
29,0.2,l,1,5
29,0.2,l2,1,5
29,0.2,fg,1,5
29,0.2,fg2,1,5
29,0.2,eb,0.44,14
29,0.2,eb2,0.76,33
29,0.2,im,1,5
29,0.2,im2,1,5
29,0.2,lp,1,5
29,0.2,lp2,1,5
29,0.2,sl,1,6
29,0.2,sl2,1,5
28,0.2,wt,1,5
28,0.2,wt2,1,5
28,0.2,l,1,5
28,0.2,l2,1,5
28,0.2,fg,0.98,5
28,0.2,fg2,0.98,5
28,0.2,eb,0.74,19
28,0.2,eb2,0.98,31
28,0.2,im,1,5
28,0.2,im2,1,5
28,0.2,lp,0.88,4
28,0.2,lp2,0.76,4
28,0.2,sl,1,6
28,0.2,sl2,1,5
27,0.2,wt,1,5
27,0.2,wt2,1,5
27,0.2,l,1,5
27,0.2,l2,1,5
27,0.2,fg,1,5
27,0.2,fg2,1,5
