run,alpha,method,accuracies
960,1,wt,0.32
960,1,wt2,0.26
960,1,l,0.32
960,1,l2,0.38
960,1,fg,0.34
960,1,fg2,0.36
960,1,eb,0.26
960,1,eb2,0.96
960,1,im,0.26
960,1,im2,0.26
960,1,lp,0.26
960,1,lp2,1
960,1,sl,0.34
960,1,sl2,0.34
959,1,wt,0.32
959,1,wt2,0.22
959,1,l,0.32
959,1,l2,0.36
959,1,fg,0.32
959,1,fg2,0.38
959,1,eb,0.22
959,1,eb2,0.9
959,1,im,0.22
959,1,im2,0.22
959,1,lp,0.22
959,1,lp2,1
959,1,sl,0.32
959,1,sl2,0.32
958,1,wt,0.34
958,1,wt2,0.34
958,1,l,0.38
958,1,l2,0.4
958,1,fg,0.36
958,1,fg2,0.36
958,1,eb,0.34
958,1,eb2,0.96
958,1,im,0.34
958,1,im2,0.34
958,1,lp,0.34
958,1,lp2,1
958,1,sl,0.38
958,1,sl2,0.38
957,1,wt,0.34
957,1,wt2,0.28
957,1,l,0.3
957,1,l2,0.44
957,1,fg,0.3
957,1,fg2,0.44
957,1,eb,0.28
957,1,eb2,0.96
957,1,im,0.28
957,1,im2,0.28
957,1,lp,0.28
957,1,lp2,1
957,1,sl,0.38
957,1,sl2,0.38
956,1,wt,0.32
956,1,wt2,0.32
956,1,l,0.32
956,1,l2,0.48
956,1,fg,0.32
956,1,fg2,0.46
956,1,eb,0.32
956,1,eb2,0.96
956,1,im,0.32
956,1,im2,0.32
956,1,lp,0.32
956,1,lp2,1
956,1,sl,0.32
956,1,sl2,0.32
955,1,wt,0.28
955,1,wt2,0.22
955,1,l,0.34
955,1,l2,0.3
955,1,fg,0.24
955,1,fg2,0.3
955,1,eb,0.22
955,1,eb2,0.96
955,1,im,0.22
955,1,im2,0.22
955,1,lp,0.22
955,1,lp2,1
955,1,sl,0.3
955,1,sl2,0.3
954,1,wt,0.34
954,1,wt2,0.32
954,1,l,0.36
954,1,l2,0.42
954,1,fg,0.4
954,1,fg2,0.46
954,1,eb,0.32
954,1,eb2,0.9
954,1,im,0.32
954,1,im2,0.32
954,1,lp,0.32
954,1,lp2,1
954,1,sl,0.38
954,1,sl2,0.38
953,1,wt,0.3
953,1,wt2,0.26
953,1,l,0.32
953,1,l2,0.36
953,1,fg,0.28
953,1,fg2,0.38
953,1,eb,0.26
953,1,eb2,0.82
953,1,im,0.26
953,1,im2,0.26
953,1,lp,0.26
953,1,lp2,1
953,1,sl,0.32
