run,alpha,method,accuracies
952,0.1,l,1
952,0.1,l2,1
952,0.1,fg,1
952,0.1,fg2,1
952,0.1,eb,0.64
952,0.1,eb2,0.64
952,0.1,im,1
952,0.1,im2,1
952,0.1,lp,1
952,0.1,lp2,1
952,0.1,sl,1
952,0.1,sl2,1
951,0.1,wt,1
951,0.1,wt2,1
951,0.1,l,1
951,0.1,l2,1
951,0.1,fg,1
951,0.1,fg2,1
951,0.1,eb,0.56
951,0.1,eb2,0.56
951,0.1,im,1
951,0.1,im2,1
951,0.1,lp,1
951,0.1,lp2,1
951,0.1,sl,1
951,0.1,sl2,1
950,0.1,wt,1
950,0.1,wt2,1
950,0.1,l,1
950,0.1,l2,1
950,0.1,fg,1
950,0.1,fg2,1
950,0.1,eb,0.3
950,0.1,eb2,0.9
950,0.1,im,1
950,0.1,im2,1
950,0.1,lp,1
950,0.1,lp2,1
950,0.1,sl,1
950,0.1,sl2,1
949,0.1,wt,1
949,0.1,wt2,1
949,0.1,l,1
949,0.1,l2,1
949,0.1,fg,1
949,0.1,fg2,1
949,0.1,eb,0.72
949,0.1,eb2,0.58
949,0.1,im,1
949,0.1,im2,1
949,0.1,lp,1
949,0.1,lp2,1
949,0.1,sl,1
949,0.1,sl2,1
948,0.1,wt,1
948,0.1,wt2,1
948,0.1,l,1
948,0.1,l2,1
948,0.1,fg,1
948,0.1,fg2,1
948,0.1,eb,0.68
948,0.1,eb2,1
948,0.1,im,1
948,0.1,im2,1
948,0.1,lp,1
948,0.1,lp2,1
948,0.1,sl,1
948,0.1,sl2,1
947,0.1,wt,1
947,0.1,wt2,1
947,0.1,l,1
947,0.1,l2,1
947,0.1,fg,1
947,0.1,fg2,1
947,0.1,eb,0.32
947,0.1,eb2,0.7
947,0.1,im,1
947,0.1,im2,1
947,0.1,lp,1
947,0.1,lp2,1
947,0.1,sl,1
947,0.1,sl2,1
946,0.1,wt,1
946,0.1,wt2,1
946,0.1,l,1
946,0.1,l2,1
946,0.1,fg,1
946,0.1,fg2,1
946,0.1,eb,0.68
946,0.1,eb2,0.68
946,0.1,im,1
946,0.1,im2,1
946,0.1,lp,1
946,0.1,lp2,1
946,0.1,sl,1
946,0.1,sl2,1
945,0.1,wt,1
945,0.1,wt2,1
945,0.1,l,1
945,0.1,l2,1
945,0.1,fg,1
945,0.1,fg2,1
945,0.1,eb,0.58
945,0.1,eb2,0.58
945,0.1,im,1
945,0.1,im2,1
945,0.1,lp,1
945,0.1,lp2,1
945,0.1,sl,1
945,0.1,sl2,1
944,0.1,wt,1
944,0.1,wt2,1
944,0.1,l,1
944,0.1,l2,1
944,0.1,fg,1
944,0.1,fg2,1
944,0.1,eb,0.36
944,0.1,eb2,1
944,0.1,im,1
944,0.1,im2,1
944,0.1,lp,1
944,0.1,lp2,1
944,0.1,sl,1
944,0.1,sl2,1
943,0.1,wt,1
943,0.1,wt2,1
943,0.1,l,1
943,0.1,l2,1
943,0.1,fg,1
943,0.1,fg2,1
943,0.1,eb,0.82
943,0.1,eb2,0.82
943,0.1,im,1
943,0.1,im2,1
943,0.1,lp,1
943,0.1,lp2,1
943,0.1,sl,1
943,0.1,sl2,1
942,0.1,wt,1
942,0.1,wt2,1
942,0.1,l,1
942,0.1,l2,1
942,0.1,fg,1
942,0.1,fg2,1
942,0.1,eb,0.46
942,0.1,eb2,0.66
942,0.1,im,1
942,0.1,im2,1
942,0.1,lp,1
942,0.1,lp2,1
942,0.1,sl,1
942,0.1,sl2,1
941,0.1,wt,1
941,0.1,wt2,1
941,0.1,l,1
941,0.1,l2,1
941,0.1,fg,1
941,0.1,fg2,1
941,0.1,eb,0.7
941,0.1,eb2,0.7
941,0.1,im,1
941,0.1,im2,1
941,0.1,lp,1
941,0.1,lp2,0.8
941,0.1,sl,1
