run,alpha,method,accuracies,c_count
49,0,sl2,NaN,NaN
48,0,wt,1,5
48,0,wt2,1,5
48,0,l,1,5
48,0,l2,1,5
48,0,fg,1,5
48,0,fg2,1,5
48,0,eb,1,5
48,0,eb2,1,5
48,0,im,1,5
48,0,im2,1,5
48,0,lp,1,5
48,0,lp2,1,5
48,0,sl,NaN,NaN
48,0,sl2,NaN,NaN
47,0,wt,1,5
47,0,wt2,1,5
47,0,l,1,5
47,0,l2,1,5
47,0,fg,1,5
47,0,fg2,1,5
47,0,eb,1,5
47,0,eb2,1,5
47,0,im,1,5
47,0,im2,1,5
47,0,lp,1,5
47,0,lp2,1,5
47,0,sl,NaN,NaN
47,0,sl2,NaN,NaN
46,0,wt,1,5
46,0,wt2,1,5
46,0,l,1,5
46,0,l2,1,5
46,0,fg,1,5
46,0,fg2,1,5
46,0,eb,1,5
46,0,eb2,1,5
46,0,im,1,5
46,0,im2,1,5
46,0,lp,1,5
46,0,lp2,1,5
46,0,sl,NaN,NaN
46,0,sl2,NaN,NaN
45,0,wt,1,5
45,0,wt2,1,5
45,0,l,1,5
45,0,l2,1,5
45,0,fg,1,5
45,0,fg2,1,5
45,0,eb,1,5
45,0,eb2,1,5
45,0,im,1,5
45,0,im2,1,5
45,0,lp,1,5
45,0,lp2,1,5
45,0,sl,NaN,NaN
45,0,sl2,NaN,NaN
44,0,wt,1,5
44,0,wt2,1,5
44,0,l,1,5
44,0,l2,1,5
44,0,fg,1,5
44,0,fg2,1,5
44,0,eb,1,5
44,0,eb2,1,5
44,0,im,1,5
44,0,im2,1,5
44,0,lp,1,5
44,0,lp2,1,5
44,0,sl,NaN,NaN
44,0,sl2,NaN,NaN
43,0,wt,1,5
43,0,wt2,1,5
43,0,l,1,5
43,0,l2,1,5
43,0,fg,1,5
43,0,fg2,1,5
43,0,eb,1,5
43,0,eb2,1,5
43,0,im,1,5
43,0,im2,1,5
43,0,lp,1,5
43,0,lp2,1,5
43,0,sl,NaN,NaN
43,0,sl2,NaN,NaN
42,0,wt,1,5
42,0,wt2,1,5
42,0,l,1,5
42,0,l2,1,5
42,0,fg,1,5
42,0,fg2,1,5
42,0,eb,1,5
42,0,eb2,1,5
42,0,im,1,5
42,0,im2,1,5
42,0,lp,1,5
42,0,lp2,1,5
42,0,sl,NaN,NaN
42,0,sl2,NaN,NaN
41,0,wt,1,5
41,0,wt2,1,5
41,0,l,1,5
41,0,l2,1,5
41,0,fg,1,5
41,0,fg2,1,5
41,0,eb,1,5
41,0,eb2,1,5
41,0,im,1,5
41,0,im2,1,5
41,0,lp,1,5
41,0,lp2,1,5
41,0,sl,NaN,NaN
41,0,sl2,NaN,NaN
40,0,wt,1,5
40,0,wt2,1,5
40,0,l,1,5
40,0,l2,1,5
40,0,fg,1,5
40,0,fg2,1,5
40,0,eb,1,5
40,0,eb2,1,5
40,0,im,1,5
40,0,im2,1,5
40,0,lp,1,5
40,0,lp2,1,5
40,0,sl,NaN,NaN
40,0,sl2,NaN,NaN
39,0,wt,1,5
39,0,wt2,1,5
39,0,l,1,5
39,0,l2,1,5
39,0,fg,1,5
39,0,fg2,1,5
39,0,eb,1,5
39,0,eb2,1,5
39,0,im,1,5
39,0,im2,1,5
39,0,lp,1,5
39,0,lp2,1,5
39,0,sl,NaN,NaN
39,0,sl2,NaN,NaN
38,0,wt,1,5
38,0,wt2,1,5
38,0,l,1,5
38,0,l2,1,5
38,0,fg,1,5
38,0,fg2,1,5
38,0,eb,1,5
38,0,eb2,1,5
38,0,im,1,5
38,0,im2,1,5
38,0,lp,1,5
38,0,lp2,1,5
38,0,sl,NaN,NaN
38,0,sl2,NaN,NaN
37,0,wt,1,5
37,0,wt2,1,5
37,0,l,1,5
37,0,l2,1,5
37,0,fg,1,5
37,0,fg2,1,5
37,0,eb,1,5
37,0,eb2,1,5
37,0,im,1,5
37,0,im2,1,5
37,0,lp,1,5
37,0,lp2,1,5
37,0,sl,NaN,NaN
37,0,sl2,NaN,NaN
36,0,wt,1,5
36,0,wt2,1,5
36,0,l,1,5
36,0,l2,1,5
36,0,fg,1,5
36,0,fg2,1,5
36,0,eb,1,5
36,0,eb2,1,5
36,0,im,1,5
36,0,im2,1,5
36,0,lp,1,5
36,0,lp2,1,5
36,0,sl,NaN,NaN
36,0,sl2,NaN,NaN
35,0,wt,1,5
35,0,wt2,1,5
35,0,l,1,5
35,0,l2,1,5
35,0,fg,1,5
35,0,fg2,1,5
35,0,eb,1,5
35,0,eb2,1,5
35,0,im,1,5
35,0,im2,1,5
35,0,lp,1,5
35,0,lp2,1,5
35,0,sl,NaN,NaN
35,0,sl2,NaN,NaN
34,0,wt,1,5
34,0,wt2,1,5
34,0,l,1,5
34,0,l2,1,5
34,0,fg,1,5
34,0,fg2,1,5
34,0,eb,1,5
34,0,eb2,1,5
34,0,im,1,5
34,0,im2,1,5
34,0,lp,1,5
34,0,lp2,1,5
34,0,sl,NaN,NaN
34,0,sl2,NaN,NaN
33,0,wt,1,5
33,0,wt2,1,5
33,0,l,1,5
33,0,l2,1,5
33,0,fg,1,5
33,0,fg2,1,5
33,0,eb,1,5
33,0,eb2,1,5
33,0,im,1,5
33,0,im2,1,5
33,0,lp,1,5
33,0,lp2,1,5
33,0,sl,NaN,NaN
33,0,sl2,NaN,NaN
32,0,wt,1,5
32,0,wt2,1,5
32,0,l,1,5
32,0,l2,1,5
32,0,fg,1,5
32,0,fg2,1,5
32,0,eb,1,5
32,0,eb2,1,5
32,0,im,1,5
32,0,im2,1,5
32,0,lp,1,5
32,0,lp2,1,5
32,0,sl,NaN,NaN
32,0,sl2,NaN,NaN
31,0,wt,1,5
31,0,wt2,1,5
31,0,l,1,5
31,0,l2,1,5
31,0,fg,1,5
31,0,fg2,1,5
31,0,eb,1,5
31,0,eb2,1,5
31,0,im,1,5
31,0,im2,1,5
31,0,lp,1,5
31,0,lp2,1,5
31,0,sl,NaN,NaN
31,0,sl2,NaN,NaN
30,0,wt,1,5
30,0,wt2,1,5
30,0,l,1,5
30,0,l2,1,5
30,0,fg,1,5
30,0,fg2,1,5
30,0,eb,1,5
30,0,eb2,1,5
30,0,im,1,5
30,0,im2,1,5
30,0,lp,1,5
30,0,lp2,1,5
30,0,sl,NaN,NaN
30,0,sl2,NaN,NaN
29,0,wt,1,5
29,0,wt2,1,5
29,0,l,1,5
29,0,l2,1,5
29,0,fg,1,5
29,0,fg2,1,5
29,0,eb,1,5
29,0,eb2,1,5
29,0,im,1,5
29,0,im2,1,5
29,0,lp,1,5
29,0,lp2,1,5
29,0,sl,NaN,NaN
29,0,sl2,NaN,NaN
28,0,wt,1,5
28,0,wt2,1,5
28,0,l,1,5
28,0,l2,1,5
28,0,fg,1,5
28,0,fg2,1,5
28,0,eb,1,5
28,0,eb2,1,5
28,0,im,1,5
28,0,im2,1,5
28,0,lp,1,5
28,0,lp2,1,5
28,0,sl,NaN,NaN
28,0,sl2,NaN,NaN
27,0,wt,1,5
27,0,wt2,1,5
27,0,l,1,5
27,0,l2,1,5
27,0,fg,1,5
27,0,fg2,1,5
27,0,eb,1,5
27,0,eb2,1,5
27,0,im,1,5
27,0,im2,1,5
27,0,lp,1,5
27,0,lp2,1,5
27,0,sl,NaN,NaN
27,0,sl2,NaN,NaN
26,0,wt,1,5
26,0,wt2,1,5
26,0,l,1,5
26,0,l2,1,5
26,0,fg,1,5
26,0,fg2,1,5
26,0,eb,1,5
26,0,eb2,1,5
26,0,im,1,5
26,0,im2,1,5
26,0,lp,1,5
26,0,lp2,1,5
26,0,sl,NaN,NaN
26,0,sl2,NaN,NaN
25,0,wt,1,5
25,0,wt2,1,5
25,0,l,1,5
25,0,l2,1,5
25,0,fg,1,5
25,0,fg2,1,5
25,0,eb,1,5
25,0,eb2,1,5
25,0,im,1,5
25,0,im2,1,5
25,0,lp,1,5
25,0,lp2,1,5
25,0,sl,NaN,NaN
25,0,sl2,NaN,NaN
24,0,wt,1,5
24,0,wt2,1,5
24,0,l,1,5
24,0,l2,1,5
24,0,fg,1,5
