run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint,AMI_scores,SNMI_scores
63,1,wt2,0,NaN,NaN,0,0,0,0
63,1,l,0.01346485446575735,0.04199391230764515,0.02377902263908713,0.020391434954929396,0.010300740921711023,0.01346485446575735,0.0073896688091202485
63,1,l2,0.13089847127003093,0.2257418771429179,0.17189900121767754,0.16570904975350917,0.090339566758066,0.13089847127003093,0.011874841402330171
63,1,fg,0.06458124787186098,0.2014146730472429,0.11405091374072296,0.09780308570257944,0.0514158576157207,0.06458124787186098,0.03544294030554988
63,1,fg2,0.12440032420189161,0.21709330771154434,0.16433647757383973,0.15816680217464735,0.08587466137617372,0.12440032420189161,0.009239657209497688
63,1,eb,0,NaN,NaN,0,0,0,0
63,1,eb2,0.3480691206246853,1,0.5899738304574919,0.5163965486627163,0.3480691206246853,0.3480691206246853,1.9501604290527163e-9
63,1,im,0,NaN,NaN,0,0,0,0
63,1,im2,0,NaN,NaN,0,0,0,0
63,1,lp,0,NaN,NaN,0,0,0,0
63,1,lp2,0,NaN,NaN,0,0,0,0
63,1,le,0,NaN,NaN,0,0,0,0
63,1,le2,0.14531333648244568,0.2584159570055313,0.19378153914338178,0.18602209707577863,0.10254926301797937,0.14531333648244568,0.0048495812072643606
63,1,sl,0.015582174777678308,0.03896343038256546,0.024640109215647486,0.02226155454231,0.011256066035141572,0.015582174777678308,0.008551678833640703
63,1,sl2,0.0056342934137900156,0.014406999116432041,0.009009620426754482,0.008100601307204434,0.00406677230412366,0.0056342934137900156,0.003092165786655896
62,1,wt,0.3471451567682292,1,0.5891902551538248,0.5153789924183413,0.3471451567682292,0.3471451567682292,1.944983647649351e-9
62,1,wt2,0,NaN,NaN,0,0,0,0
62,1,l,0.01731405505774709,0.049222125384748426,0.02919305720493941,0.025617178001596175,0.01297477759438128,0.01731405505774709,0.009502154883664233
62,1,l2,0.12000421307997863,0.20041237638661782,0.15508168660343025,0.15011912810008746,0.0811507002317983,0.12000421307997863,0.01329684582604813
62,1,fg,0.0055664786271085375,0.017783528546690706,0.009949453832735159,0.008478938000567782,0.0042575186184850905,0.0055664786271085375,0.0030549482426258665
62,1,fg2,0.11299169629995044,0.1821031040556486,0.14344385183316197,0.1394544302640317,0.07495351499712087,0.11299169629995044,0.015291763222139116
62,1,eb,0,NaN,NaN,0,0,0,0
62,1,eb2,0.33655231479344666,0.940809972053569,0.5627004299584163,0.4957587634075941,0.32957397480383427,0.33655231479344666,6.260525719927525e-9
62,1,im,0,NaN,NaN,0,0,0,0
62,1,im2,0,NaN,NaN,0,0,0,0
62,1,lp,0,NaN,NaN,0,0,0,0
62,1,lp2,0,NaN,NaN,0,0,0,0
62,1,le,0,NaN,NaN,0,0,0,0
62,1,le2,0.15691669044113066,0.2736644503746435,0.2072257702221905,0.19946307802901764,0.1107797766294471,0.15691669044113066,0.009542113772667098
62,1,sl,0.005321869362138364,0.015776462758865437,0.009162983891687404,0.007958948917648213,0.003995373947401241,0.005321869362138364,0.002920703831713828
62,1,sl2,0.016736214627872396,0.0437995133540033,0.027074675549098686,0.024218360975469984,0.012257610100793787,0.016736214627872396,0.009185029331943427
61,1,wt,0.3470173493307643,1,0.5890817849252888,0.5152381288974076,0.3470173493307643,0.3470173493307643,1.9442675685940317e-9
61,1,wt2,0,NaN,NaN,0,0,0,0
