run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint
59,0,l,1,1,1,1,1
59,0,l2,1,1,1,1,1
59,0,fg,1,1,1,1,1
59,0,fg2,1,1,1,1,1
59,0,eb,1,1,1,1,1
59,0,eb2,1,1,1,1,1
59,0,im,1,1,1,1,1
59,0,im2,1,1,1,1,1
59,0,lp,1,1,1,1,1
59,0,lp2,1,1,1,1,1
59,0,le,1,1,1,1,1
59,0,le2,1,1,1,1,1
59,0,sl,NA,NA,NA,NA,NA
59,0,sl2,NA,NA,NA,NA,NA
58,0,wt,1,1,1,1,1
58,0,wt2,1,1,1,1,1
58,0,l,1,1,1,1,1
58,0,l2,1,1,1,1,1
58,0,fg,1,1,1,1,1
58,0,fg2,1,1,1,1,1
58,0,eb,1,1,1,1,1
58,0,eb2,1,1,1,1,1
58,0,im,1,1,1,1,1
58,0,im2,1,1,1,1,1
58,0,lp,1,1,1,1,1
58,0,lp2,1,1,1,1,1
58,0,le,1,1,1,1,1
58,0,le2,1,1,1,1,1
58,0,sl,NA,NA,NA,NA,NA
58,0,sl2,NA,NA,NA,NA,NA
57,0,wt,1,1,1,1,1
57,0,wt2,1,1,1,1,1
57,0,l,1,1,1,1,1
57,0,l2,1,1,1,1,1
57,0,fg,1,1,1,1,1
57,0,fg2,1,1,1,1,1
57,0,eb,1,1,1,1,1
57,0,eb2,1,1,1,1,1
57,0,im,1,1,1,1,1
57,0,im2,1,1,1,1,1
57,0,lp,1,1,1,1,1
57,0,lp2,1,1,1,1,1
57,0,le,1,1,1,1,1
57,0,le2,1,1,1,1,1
57,0,sl,NA,NA,NA,NA,NA
57,0,sl2,NA,NA,NA,NA,NA
56,0,wt,1,1,1,1,1
56,0,wt2,1,1,1,1,1
56,0,l,1,1,1,1,1
56,0,l2,1,1,1,1,1
56,0,fg,1,1,1,1,1
56,0,fg2,1,1,1,1,1
56,0,eb,1,1,1,1,1
56,0,eb2,1,1,1,1,1
56,0,im,1,1,1,1,1
56,0,im2,1,1,1,1,1
56,0,lp,1,1,1,1,1
56,0,lp2,1,1,1,1,1
56,0,le,1,1,1,1,1
56,0,le2,1,1,1,1,1
56,0,sl,NA,NA,NA,NA,NA
56,0,sl2,NA,NA,NA,NA,NA
55,0,wt,1,1,1,1,1
55,0,wt2,1,1,1,1,1
55,0,l,1,1,1,1,1
55,0,l2,1,1,1,1,1
55,0,fg,1,1,1,1,1
55,0,fg2,1,1,1,1,1
55,0,eb,1,1,1,1,1
55,0,eb2,1,1,1,1,1
55,0,im,1,1,1,1,1
55,0,im2,1,1,1,1,1
55,0,lp,1,1,1,1,1
55,0,lp2,1,1,1,1,1
55,0,le,1,1,1,1,1
55,0,le2,1,1,1,1,1
55,0,sl,NA,NA,NA,NA,NA
55,0,sl2,NA,NA,NA,NA,NA
54,0,wt,1,1,1,1,1
54,0,wt2,1,1,1,1,1
54,0,l,1,1,1,1,1
54,0,l2,1,1,1,1,1
54,0,fg,1,1,1,1,1
54,0,fg2,1,1,1,1,1
54,0,eb,1,1,1,1,1
54,0,eb2,1,1,1,1,1
54,0,im,1,1,1,1,1
54,0,im2,1,1,1,1,1
54,0,lp,1,1,1,1,1
54,0,lp2,1,1,1,1,1
54,0,le,1,1,1,1,1
54,0,le2,1,1,1,1,1
54,0,sl,NA,NA,NA,NA,NA
54,0,sl2,NA,NA,NA,NA,NA
53,0,wt,1,1,1,1,1
53,0,wt2,1,1,1,1,1
53,0,l,1,1,1,1,1
53,0,l2,1,1,1,1,1
53,0,fg,1,1,1,1,1
53,0,fg2,1,1,1,1,1
53,0,eb,1,1,1,1,1
53,0,eb2,1,1,1,1,1
53,0,im,1,1,1,1,1
53,0,im2,1,1,1,1,1
53,0,lp,1,1,1,1,1
53,0,lp2,1,1,1,1,1
53,0,le,1,1,1,1,1
53,0,le2,1,1,1,1,1
53,0,sl,NA,NA,NA,NA,NA
53,0,sl2,NA,NA,NA,NA,NA
52,0,wt,1,1,1,1,1
52,0,wt2,1,1,1,1,1
52,0,l,1,1,1,1,1
52,0,l2,1,1,1,1,1
52,0,fg,1,1,1,1,1
52,0,fg2,1,1,1,1,1
52,0,eb,1,1,1,1,1
52,0,eb2,1,1,1,1,1
