run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint,AMI_scores,SNMI_scores
2,0.8,l,0.9243540797190846,0.9269009653222618,0.9256266465434054,0.9256257705669667,0.8615487464320846,0.9243540797190846,0.9243540797190846
2,0.8,l2,0.7800387565253971,0.9131797913639993,0.8439879317500313,0.8413747059735435,0.7261836163179182,0.7800387565253971,0.3504940064408423
2,0.8,fg,0.48735631968151605,0.747323669631973,0.603500549496621,0.5899713551609991,0.41841090060150016,0.48735631968151605,0.3266847106446736
2,0.8,fg2,0.7883838663885014,0.9242931174881359,0.8536379687206854,0.8509459617915499,0.7405621785362715,0.7883838663885014,0.35424370601107535
2,0.8,eb,0,NaN,NaN,0,0,0,0
2,0.8,eb2,0.3430630654032661,0.9673651375248602,0.5760792041408287,0.5065019948471494,0.33913804578219847,0.3430630654032661,5.224843537250766e-9
2,0.8,im,0,NaN,NaN,0,0,0,0
2,0.8,im2,0,NaN,NaN,0,0,0,0
2,0.8,lp,0,NaN,NaN,0,0,0,0
2,0.8,lp2,0.34635775448909606,1,0.5885216686657307,0.5145107284215538,0.34635775448909606,0.34635775448909606,1.940571992964915e-9
2,0.8,le,0.2657221842357387,0.3864583662373557,0.3204536802609157,0.3149145159826464,0.18688340678828333,0.2657221842357387,0.178118906769591
2,0.8,le2,0.4177980684320838,0.6633559984724986,0.5264492899080083,0.5126907687414843,0.34471027138563576,0.4177980684320838,0.046293345539957384
2,0.8,sl,0.9488793061085546,0.9520747285359211,0.9504756744791817,0.9504743316380226,0.905622759204597,0.9488793061085546,0.9488793061085546
2,0.8,sl2,0.9000852870119694,0.9014604875264028,0.9007726248311236,0.9007723623931376,0.8194593472505991,0.9000852870119694,0.9000852870119694
1,0.8,wt,0.7574846894258157,0.9002891339948776,0.8258058095324509,0.8227361602928226,0.6988545239760894,0.7574846894258157,0.6201760102186392
1,0.8,wt2,0,NaN,NaN,0,0,0,0
1,0.8,l,0.7609843479923495,0.9189713810190311,0.8362552464459618,0.832549126303386,0.7131341841110659,0.7609843479923495,0.6230412883123333
