run,alpha,method,accuracies,c_count
69,1,im2,0.24,1
69,1,lp,0.24,1
69,1,lp2,1,50
69,1,sl,0.28,2
69,1,sl2,0.3,2
68,1,wt,0.26,2
68,1,wt2,0.24,1
68,1,l,0.28,3
68,1,l2,0.42,8
68,1,fg,0.34,3
68,1,fg2,0.4,8
68,1,eb,0.24,1
68,1,eb2,1,50
68,1,im,0.24,1
68,1,im2,0.24,1
68,1,lp,0.24,1
68,1,lp2,1,50
68,1,sl,0.3,3
68,1,sl2,0.32,3
67,1,wt,0.34,3
67,1,wt2,0.24,1
67,1,l,0.32,3
67,1,l2,0.46,7
67,1,fg,0.36,3
67,1,fg2,0.42,6
67,1,eb,0.24,1
67,1,eb2,0.9,44
67,1,im,0.24,1
67,1,im2,0.24,1
67,1,lp,0.24,1
67,1,lp2,1,50
67,1,sl,0.26,3
67,1,sl2,0.26,3
66,1,wt,0.3,3
66,1,wt2,0.26,1
66,1,l,0.32,2
66,1,l2,0.48,7
66,1,fg,0.36,2
66,1,fg2,0.42,6
66,1,eb,0.26,1
66,1,eb2,0.98,48
66,1,im,0.26,1
66,1,im2,0.26,1
66,1,lp,0.26,1
66,1,lp2,1,50
66,1,sl,0.34,3
66,1,sl2,0.32,3
65,1,wt,0.28,2
65,1,wt2,0.24,1
65,1,l,0.28,3
65,1,l2,0.42,7
65,1,fg,0.26,2
65,1,fg2,0.48,8
65,1,eb,0.24,1
65,1,eb2,0.94,45
65,1,im,0.24,1
65,1,im2,0.24,1
65,1,lp,0.24,1
65,1,lp2,1,50
65,1,sl,0.3,2
65,1,sl2,0.3,2
64,1,wt,0.3,2
64,1,wt2,0.22,1
64,1,l,0.34,3
64,1,l2,0.4,7
64,1,fg,0.28,2
64,1,fg2,0.46,7
64,1,eb,0.22,1
64,1,eb2,0.94,46
64,1,im,0.22,1
64,1,im2,0.22,1
64,1,lp,0.22,1
64,1,lp2,1,50
64,1,sl,0.32,3
64,1,sl2,0.32,3
63,1,wt,0.3,2
63,1,wt2,0.28,1
63,1,l,0.36,3
63,1,l2,0.4,7
63,1,fg,0.34,2
63,1,fg2,0.48,9
63,1,eb,0.28,1
63,1,eb2,0.98,49
63,1,im,0.28,1
63,1,im2,0.28,1
63,1,lp,0.28,1
63,1,lp2,1,50
63,1,sl,0.3,3
63,1,sl2,0.32,3
62,1,wt,0.32,3
62,1,wt2,0.26,1
62,1,l,0.3,3
62,1,l2,0.36,6
62,1,fg,0.28,3
62,1,fg2,0.36,6
62,1,eb,0.26,1
62,1,eb2,0.9,44
62,1,im,0.26,1
62,1,im2,0.26,1
62,1,lp,0.26,1
62,1,lp2,1,50
62,1,sl,0.3,3
62,1,sl2,0.32,3
61,1,wt,0.36,2
61,1,wt2,0.26,1
61,1,l,0.34,3
61,1,l2,0.36,6
61,1,fg,0.32,2
61,1,fg2,0.36,8
61,1,eb,0.26,1
61,1,eb2,1,50
61,1,im,0.26,1
61,1,im2,0.26,1
61,1,lp,0.26,1
61,1,lp2,1,50
61,1,sl,0.34,5
61,1,sl2,0.34,3
60,1,wt,0.28,2
60,1,wt2,0.26,1
60,1,l,0.32,3
60,1,l2,0.42,7
60,1,fg,0.26,2
60,1,fg2,0.4,6
60,1,eb,0.26,1
60,1,eb2,0.86,38
60,1,im,0.26,1
60,1,im2,0.26,1
60,1,lp,0.26,1
60,1,lp2,1,50
60,1,sl,0.28,3
60,1,sl2,0.28,3
59,1,wt,0.28,3
59,1,wt2,0.26,1
59,1,l,0.32,3
59,1,l2,0.42,7
59,1,fg,0.32,3
59,1,fg2,0.38,7
59,1,eb,0.26,1
59,1,eb2,1,49
59,1,im,0.26,1
59,1,im2,0.26,1
59,1,lp,0.26,1
59,1,lp2,1,50
59,1,sl,0.34,3
59,1,sl2,0.32,3
58,1,wt,0.34,2
58,1,wt2,0.3,1
58,1,l,0.36,3
58,1,l2,0.36,7
58,1,fg,0.3,2
58,1,fg2,0.36,6
58,1,eb,0.3,1
58,1,eb2,0.94,47
58,1,im,0.3,1
58,1,im2,0.3,1
58,1,lp,0.3,1
58,1,lp2,1,50
58,1,sl,0.36,3
58,1,sl2,0.3,3
57,1,wt,0.3,2
57,1,wt2,0.24,1
57,1,l,0.3,3
57,1,l2,0.38,8
57,1,fg,0.26,2
57,1,fg2,0.38,7
57,1,eb,0.24,1
57,1,eb2,1,49
57,1,im,0.24,1
57,1,im2,0.24,1
57,1,lp,0.24,1
57,1,lp2,1,50
57,1,sl,0.3,3
57,1,sl2,0.3,3
56,1,wt,0.4,3
56,1,wt2,0.26,1
56,1,l,0.4,3
56,1,l2,0.44,7
56,1,fg,0.36,2
56,1,fg2,0.42,8
56,1,eb,0.26,1
56,1,eb2,0.96,47
56,1,im,0.26,1
56,1,im2,0.26,1
56,1,lp,0.26,1
56,1,lp2,1,50
56,1,sl,0.4,3
56,1,sl2,0.4,3
55,1,wt,0.3,2
55,1,wt2,0.28,1
55,1,l,0.3,3
55,1,l2,0.4,7
55,1,fg,0.32,2
55,1,fg2,0.36,5
55,1,eb,0.28,1
55,1,eb2,0.96,47
55,1,im,0.28,1
55,1,im2,0.28,1
55,1,lp,0.28,1
55,1,lp2,1,50
55,1,sl,0.3,3
55,1,sl2,0.32,3
54,1,wt,0.3,2
54,1,wt2,0.28,1
54,1,l,0.32,3
54,1,l2,0.38,7
54,1,fg,0.28,2
54,1,fg2,0.42,8
54,1,eb,0.28,1
54,1,eb2,0.98,48
54,1,im,0.28,1
54,1,im2,0.28,1
54,1,lp,0.28,1
54,1,lp2,1,50
54,1,sl,0.28,4
54,1,sl2,0.3,3
53,1,wt,0.42,2
53,1,wt2,0.42,1
53,1,l,0.42,4
53,1,l2,0.44,7
53,1,fg,0.42,2
53,1,fg2,0.44,7
53,1,eb,0.42,1
53,1,eb2,1,50
53,1,im,0.42,1
53,1,im2,0.42,1
53,1,lp,0.42,1
53,1,lp2,1,50
53,1,sl,0.42,3
53,1,sl2,0.42,3
52,1,wt,0.32,2
52,1,wt2,0.3,1
52,1,l,0.34,3
52,1,l2,0.4,7
52,1,fg,0.3,2
52,1,fg2,0.4,7
52,1,eb,0.3,1
52,1,eb2,0.94,45
52,1,im,0.3,1
52,1,im2,0.3,1
52,1,lp,0.3,1
52,1,lp2,1,50
52,1,sl,0.36,3
