run,alpha,method,accuracies
957,0.8,fg2,0.58
957,0.8,eb,0.28
957,0.8,eb2,0.9
957,0.8,im,0.28
957,0.8,im2,0.28
957,0.8,lp,0.28
957,0.8,lp2,1
957,0.8,sl,0.44
957,0.8,sl2,0.42
956,0.8,wt,0.36
956,0.8,wt2,0.28
956,0.8,l,0.48
956,0.8,l2,0.54
956,0.8,fg,0.44
956,0.8,fg2,0.52
956,0.8,eb,0.28
956,0.8,eb2,0.88
956,0.8,im,0.28
956,0.8,im2,0.28
956,0.8,lp,0.28
956,0.8,lp2,1
956,0.8,sl,0.48
956,0.8,sl2,0.44
955,0.8,wt,0.42
955,0.8,wt2,0.26
955,0.8,l,0.58
955,0.8,l2,0.72
955,0.8,fg,0.56
955,0.8,fg2,0.64
955,0.8,eb,0.26
955,0.8,eb2,0.96
955,0.8,im,0.26
955,0.8,im2,0.26
955,0.8,lp,0.26
955,0.8,lp2,1
955,0.8,sl,0.5
955,0.8,sl2,0.5
954,0.8,wt,0.54
954,0.8,wt2,0.22
954,0.8,l,0.48
954,0.8,l2,0.62
954,0.8,fg,0.44
954,0.8,fg2,0.58
954,0.8,eb,0.22
954,0.8,eb2,0.98
954,0.8,im,0.22
954,0.8,im2,0.22
954,0.8,lp,0.22
954,0.8,lp2,1
954,0.8,sl,0.44
954,0.8,sl2,0.42
953,0.8,wt,0.4
953,0.8,wt2,0.24
953,0.8,l,0.56
953,0.8,l2,0.74
953,0.8,fg,0.56
953,0.8,fg2,0.62
953,0.8,eb,0.24
953,0.8,eb2,0.98
953,0.8,im,0.24
953,0.8,im2,0.24
953,0.8,lp,0.24
953,0.8,lp2,1
953,0.8,sl,0.56
953,0.8,sl2,0.58
952,0.8,wt,0.48
952,0.8,wt2,0.28
952,0.8,l,0.6
952,0.8,l2,0.66
952,0.8,fg,0.44
952,0.8,fg2,0.6
952,0.8,eb,0.28
952,0.8,eb2,0.94
952,0.8,im,0.28
952,0.8,im2,0.28
952,0.8,lp,0.28
952,0.8,lp2,1
952,0.8,sl,0.62
952,0.8,sl2,0.62
951,0.8,wt,0.48
951,0.8,wt2,0.36
951,0.8,l,0.46
951,0.8,l2,0.56
951,0.8,fg,0.46
951,0.8,fg2,0.56
951,0.8,eb,0.36
951,0.8,eb2,0.92
951,0.8,im,0.36
951,0.8,im2,0.36
951,0.8,lp,0.36
951,0.8,lp2,1
951,0.8,sl,0.5
951,0.8,sl2,0.52
950,0.8,wt,0.34
950,0.8,wt2,0.24
950,0.8,l,0.46
950,0.8,l2,0.64
950,0.8,fg,0.42
950,0.8,fg2,0.68
950,0.8,eb,0.24
950,0.8,eb2,1
950,0.8,im,0.24
950,0.8,im2,0.24
950,0.8,lp,0.24
950,0.8,lp2,1
950,0.8,sl,0.48
950,0.8,sl2,0.48
949,0.8,wt,0.32
949,0.8,wt2,0.32
949,0.8,l,0.52
949,0.8,l2,0.76
949,0.8,fg,0.54
949,0.8,fg2,0.78
949,0.8,eb,0.32
949,0.8,eb2,0.86
949,0.8,im,0.32
949,0.8,im2,0.32
949,0.8,lp,0.32
949,0.8,lp2,1
949,0.8,sl,0.44
949,0.8,sl2,0.44
948,0.8,wt,0.42
948,0.8,wt2,0.32
948,0.8,l,0.38
948,0.8,l2,0.56
948,0.8,fg,0.36
948,0.8,fg2,0.6
948,0.8,eb,0.32
948,0.8,eb2,0.98
948,0.8,im,0.32
948,0.8,im2,0.32
948,0.8,lp,0.32
948,0.8,lp2,1
948,0.8,sl,0.38
948,0.8,sl2,0.4
947,0.8,wt,0.42
947,0.8,wt2,0.26
947,0.8,l,0.52
947,0.8,l2,0.74
947,0.8,fg,0.52
947,0.8,fg2,0.62
947,0.8,eb,0.26
947,0.8,eb2,0.94
947,0.8,im,0.26
947,0.8,im2,0.26
947,0.8,lp,0.26
947,0.8,lp2,1
947,0.8,sl,0.5
947,0.8,sl2,0.54
946,0.8,wt,0.44
946,0.8,wt2,0.26
946,0.8,l,0.58
946,0.8,l2,0.74
946,0.8,fg,0.32
946,0.8,fg2,0.66
946,0.8,eb,0.26
946,0.8,eb2,0.98
946,0.8,im,0.26
946,0.8,im2,0.26
946,0.8,lp,0.26
946,0.8,lp2,1
946,0.8,sl,0.52
946,0.8,sl2,0.42
945,0.8,wt,0.5
945,0.8,wt2,0.28
945,0.8,l,0.46
945,0.8,l2,0.66
945,0.8,fg,0.5
945,0.8,fg2,0.68
945,0.8,eb,0.28
945,0.8,eb2,0.98
945,0.8,im,0.28
945,0.8,im2,0.28
945,0.8,lp,0.28
945,0.8,lp2,1
945,0.8,sl,0.5
945,0.8,sl2,0.48
944,0.8,wt,0.36
944,0.8,wt2,0.26
944,0.8,l,0.48
944,0.8,l2,0.64
944,0.8,fg,0.48
944,0.8,fg2,0.66
944,0.8,eb,0.26
944,0.8,eb2,0.76
944,0.8,im,0.26
944,0.8,im2,0.26
944,0.8,lp,0.26
944,0.8,lp2,1
944,0.8,sl,0.52
944,0.8,sl2,0.52
943,0.8,wt,0.42
943,0.8,wt2,0.3
943,0.8,l,0.52
943,0.8,l2,0.66
943,0.8,fg,0.46
943,0.8,fg2,0.62
943,0.8,eb,0.3
943,0.8,eb2,0.96
943,0.8,im,0.3
943,0.8,im2,0.3
943,0.8,lp,0.3
943,0.8,lp2,1
943,0.8,sl,0.52
943,0.8,sl2,0.52
942,0.8,wt,0.54
942,0.8,wt2,0.24
942,0.8,l,0.6
942,0.8,l2,0.68
942,0.8,fg,0.52
942,0.8,fg2,0.72
942,0.8,eb,0.24
942,0.8,eb2,0.96
942,0.8,im,0.24
942,0.8,im2,0.24
942,0.8,lp,0.24
942,0.8,lp2,1
942,0.8,sl,0.6
942,0.8,sl2,0.6
941,0.8,wt,0.34
941,0.8,wt2,0.28
941,0.8,l,0.42
941,0.8,l2,0.6
941,0.8,fg,0.44
941,0.8,fg2,0.5
941,0.8,eb,0.28
941,0.8,eb2,1
941,0.8,im,0.28
941,0.8,im2,0.28
941,0.8,lp,0.28
941,0.8,lp2,1
941,0.8,sl,0.4
941,0.8,sl2,0.42
940,0.8,wt,0.54
