run,alpha,method,accuracies
958,1,lp2,1
958,1,sl,0.34
958,1,sl2,0.32
957,1,wt,0.32
957,1,wt2,0.28
957,1,l,0.32
957,1,l2,0.4
957,1,fg,0.3
957,1,fg2,0.34
957,1,eb,0.28
957,1,eb2,0.96
957,1,im,0.28
957,1,im2,0.28
957,1,lp,0.28
957,1,lp2,1
957,1,sl,0.32
957,1,sl2,0.32
956,1,wt,0.32
956,1,wt2,0.24
956,1,l,0.32
956,1,l2,0.46
956,1,fg,0.34
956,1,fg2,0.4
956,1,eb,0.24
956,1,eb2,0.98
956,1,im,0.24
956,1,im2,0.24
956,1,lp,0.24
956,1,lp2,1
956,1,sl,0.36
956,1,sl2,0.36
955,1,wt,0.38
955,1,wt2,0.28
955,1,l,0.42
955,1,l2,0.4
955,1,fg,0.28
955,1,fg2,0.4
955,1,eb,0.28
955,1,eb2,1
955,1,im,0.28
955,1,im2,0.28
955,1,lp,0.28
955,1,lp2,1
955,1,sl,0.42
955,1,sl2,0.36
954,1,wt,0.38
954,1,wt2,0.34
954,1,l,0.34
954,1,l2,0.4
954,1,fg,0.38
954,1,fg2,0.38
954,1,eb,0.34
954,1,eb2,0.94
954,1,im,0.34
954,1,im2,0.34
954,1,lp,0.34
954,1,lp2,1
954,1,sl,0.34
954,1,sl2,0.34
953,1,wt,0.28
953,1,wt2,0.24
953,1,l,0.34
953,1,l2,0.44
953,1,fg,0.3
953,1,fg2,0.44
953,1,eb,0.24
953,1,eb2,0.96
953,1,im,0.24
953,1,im2,0.24
953,1,lp,0.24
953,1,lp2,1
953,1,sl,0.32
953,1,sl2,0.4
952,1,wt,0.26
952,1,wt2,0.22
952,1,l,0.28
952,1,l2,0.42
952,1,fg,0.28
952,1,fg2,0.38
952,1,eb,0.22
952,1,eb2,0.88
952,1,im,0.22
952,1,im2,0.22
952,1,lp,0.22
952,1,lp2,1
952,1,sl,0.3
952,1,sl2,0.3
951,1,wt,0.32
951,1,wt2,0.3
951,1,l,0.32
951,1,l2,0.44
951,1,fg,0.32
951,1,fg2,0.44
951,1,eb,0.3
951,1,eb2,0.98
951,1,im,0.3
951,1,im2,0.3
951,1,lp,0.3
951,1,lp2,1
951,1,sl,0.36
951,1,sl2,0.34
950,1,wt,0.38
950,1,wt2,0.26
950,1,l,0.32
950,1,l2,0.38
950,1,fg,0.34
950,1,fg2,0.34
950,1,eb,0.26
950,1,eb2,0.96
950,1,im,0.26
950,1,im2,0.26
950,1,lp,0.26
950,1,lp2,1
950,1,sl,0.32
950,1,sl2,0.34
949,1,wt,0.38
949,1,wt2,0.34
949,1,l,0.34
949,1,l2,0.42
949,1,fg,0.36
949,1,fg2,0.44
949,1,eb,0.34
949,1,eb2,0.92
949,1,im,0.34
949,1,im2,0.34
949,1,lp,0.34
949,1,lp2,1
949,1,sl,0.34
949,1,sl2,0.34
948,1,wt,0.32
948,1,wt2,0.28
948,1,l,0.32
948,1,l2,0.36
948,1,fg,0.32
948,1,fg2,0.42
948,1,eb,0.28
948,1,eb2,0.98
948,1,im,0.28
948,1,im2,0.28
948,1,lp,0.28
948,1,lp2,1
948,1,sl,0.34
